2 1
01.01.2016 00:00:00.00 3600 2.7777777778e-04
0 0.00000000111128914409008 0.00000170518393494013 0.6
1 0.0000000000102551488979799 0.00000340527936660824 0.6
2 0.00000000368111683878835 0.00000427621713957944 0.6
3 0.00000000965462192398438 0.0000053626828410882 0.6
4 0.0000000107774769843179 0.00000346891306848043 0.6
5 0.00000000673233673774189 0.00000151054578328363 0.6
6 0.00000000504210640758215 0.000000811365015479953 0.6
7 -0.000000000048374984700336 -0.000000941739561883164 0.6
8 0 -0.0000000834465107977426 0.6
9 0.0000000369723530443494 0.00000100516361686818 0.6
10 0.000000238903689112514 0.000019422035664717 0.6
11 0.00000137612480654094 0.0000401319066651365 0.6
12 0.00000380934776042586 0.0000463586720766509 0.6
13 0.00000639789715472449 0.0000434889053656427 0.6
14 0.00000699532938897233 0.0000310914353635969 0.6
15 0.0000023028665693868 0.0000119655176984839 0.6
16 0.000000393102822028711 0.00000415458530589137 0.6
17 0.000000210327100862365 0.000002482987122624 0.6
18 0.000000345022777289131 0.00000466418155271677 0.6
19 0.000000448809010141958 0.00000728262515058163 0.6
20 0.000000635802422566338 0.000010251253093662 0.6
21 0.000000485639626383732 0.00000703748852589796 0.6
22 0.000000735060586961699 0.000009700997757503 0.6
23 0.000000891249716393288 0.00000995071006456811 0.6
24 0.000000937653660840017 0.00000812331413478819 0.6
25 0.000000865450258952195 0.00000666630256691769 0.6
26 0.000000924831950654524 0.00000685154243885836 0.6
27 0.000000937523068217723 0.0000069985020694255 0.6
28 0.000000933518504954043 0.00000647719013479628 0.6
29 0.00000102375723975256 0.00000663654779716745 0.6
30 0.00000102250760469971 0.00000751234801748894 0.6
31 0.000000641944965109072 0.0000052280810947423 0.6
32 0.000000403029834525981 0.0000138930261690909 0.6
33 0 0.0000280959541685822 0.6
34 0 0.0000369644390165794 0.6
35 0 0.000045924055730287 0.6
36 0.0000000000416812156626233 0.0000475282341558133 0.6
37 0 0.0000383766975711184 0.6
38 0 0.0000302617740556104 0.6
39 0.0000000000416812156626233 0.0000221286389267847 0.6
40 0 0.0000164722690440391 0.6
41 0 0.0000134947557055484 0.6
42 0 0.0000119668483387038 0.6
43 0 0.0000124654332280841 0.6
44 0 0.0000117925989101013 0.6
45 0 0.00000974334342573724 0.6
46 0 0.00000782207696862504 0.6
47 0 0.00000433952014763207 0.6
48 0 0.00000407369497904789 0.6
49 0 0.000000801314699303491 0.6
50 0 -0.00000052583417626245 0.6
51 0 -0.00000215871842589383 0.6
52 0 -0.0000038029803485903 0.6
53 0 0.000000935040825905893 0.6
54 0.0000000000277059731421527 0.000000821121011202233 0.6
55 -0.0000000000208406078313117 0.0000160589245374392 0.6
56 0 0.00000816155406600282 0.6
57 0 0.0000088681565330622 0.6
58 0.00000000113327430008639 0.0000326811751706452 0.6
59 0.00000100699799764524 0.000044052699260273 0.6
60 0.00000374738253069632 0.0000535689384548299 0.6
61 0.00000529080591165437 0.0000507029558480711 0.6
62 0.0000056914131778692 0.000041948887108303 0.6
63 0.00000134337990484776 0.0000231180389053324 0.6
64 0.000000169200162936355 0.00000535964234231869 0.6
65 0.000000130735444819791 0.00000652768598425248 0.6
66 0.000000133521410570455 0.00000622951866939899 0.6
67 0.000000146715226583532 0.00000746336415459144 0.6
68 0.000000100840698694316 0.00000589805184735361 0.6
69 0.0000001566857775473 0.00000875629097785214 0.6
70 0.000000246651681843477 0.0000129205968785101 0.6
71 0.000000310706712901179 0.0000164011101708034 0.6
72 0.000000173686803817306 0.0000221273118815935 0.6
73 0 0.0000252329579470696 0.6
74 0.00000000253180056385926 0.0000221054564416767 0.6
75 0.00000000466895757240674 0.0000191590372116701 0.6
76 0.00000000492769204973844 0.0000155883887334234 0.6
77 0.0000000054629121221241 0.0000137724344049258 0.6
78 0.00000000330567380646354 0.0000110542060977313 0.6
79 -0.000000000177761889915819 0.00000299089730349574 0.6
80 0.0000000237659061539728 0.00000713318263758311 0.6
81 0.000000812332104959618 0.000023741746774761 0.6
82 0.00000125887195533207 0.0000416104932186918 0.6
83 0.00000114210689672519 0.0000587655543546417 0.6
84 0.00000284925843262618 0.0000595657267581622 0.6
85 0.00000187506270430631 0.0000692169587736442 0.6
86 0.00000101771663832974 0.0000600679716060955 0.6
87 0.00000027424800609266 0.0000361329087902028 0.6
88 0.000000103242250033085 0.0000212402057468418 0.6
89 0.0000000982307184386631 0.0000159305615862522 0.6
90 0.000000106094069542319 0.0000139527176853749 0.6
91 0.0000000649278143158169 0.00000814740127436362 0.6
92 0.0000000123787473451895 0.000000000217113837097799 0.6
93 0.0000000158579004406284 0.00000207395599890045 0.6
94 0.00000000164237013427876 -0.0000068850342142155 0.6
95 0 -0.0000145773847946692 0.6
96 0 -0.000012250139243197 0.6
97 0 -0.0000127473921925642 0.6
98 0 -0.0000115755959378053 0.6
99 0.0000000012727463592873 -0.00000915830602885541 0.6
100 0 -0.00000741390849583471 0.6
101 0 -0.00000414306130297375 0.6
102 0.00000000349103826056279 0.00000340139059237072 0.6
103 0.000000000187888341608953 -0.00000564530468882697 0.6
104 0 -0.00000567364989754244 0.6
